acousticness,analysis_url,artist,danceability,duration_ms,energy,genre,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0006349999999999999,https://api.spotify.com/v1/audio-analysis/40RFNnTV6CAounCsx56TZ2,Pegboard Nerds,0.54,216000,0.988,dubstep,40RFNnTV6CAounCsx56TZ2,0.29,4,0.318,-5.609,0,Gunpoint - Edit,0.11,140.042,4,https://api.spotify.com/v1/tracks/40RFNnTV6CAounCsx56TZ2,audio_features,spotify:track:40RFNnTV6CAounCsx56TZ2,0.247
0.000505,https://api.spotify.com/v1/audio-analysis/7BpzZVdVGmVclfvZfwBNEv,Bassnectar,0.596,319059,0.835,dubstep,7BpzZVdVGmVclfvZfwBNEv,6.579999999999999e-05,7,0.687,-3.753,1,Upside Down,0.40700000000000003,174.99400000000003,4,https://api.spotify.com/v1/tracks/7BpzZVdVGmVclfvZfwBNEv,audio_features,spotify:track:7BpzZVdVGmVclfvZfwBNEv,0.40399999999999997
0.00015,https://api.spotify.com/v1/audio-analysis/6kdkbhz1IA2XTx5mIvy1h1,Flux Pavilion,0.462,313069,0.736,dubstep,6kdkbhz1IA2XTx5mIvy1h1,0.45399999999999996,4,0.15,-6.007000000000001,1,I Feel It,0.0318,130.04399999999998,4,https://api.spotify.com/v1/tracks/6kdkbhz1IA2XTx5mIvy1h1,audio_features,spotify:track:6kdkbhz1IA2XTx5mIvy1h1,0.0973
0.0005,https://api.spotify.com/v1/audio-analysis/7hUDItdFd28Kvq0mAuoZ30,Habstrakt,0.634,301714,0.898,dubstep,7hUDItdFd28Kvq0mAuoZ30,0.11199999999999999,7,0.514,-3.779,0,Rough - Brown and Gammon Remix,0.0612,140.031,4,https://api.spotify.com/v1/tracks/7hUDItdFd28Kvq0mAuoZ30,audio_features,spotify:track:7hUDItdFd28Kvq0mAuoZ30,0.46
0.000724,https://api.spotify.com/v1/audio-analysis/2SrG0BZgVqrq350PS6OB6L,Noisia,0.598,288000,0.903,dubstep,2SrG0BZgVqrq350PS6OB6L,0.569,11,0.171,-5.129,0,Split The Atom - Bar 9 Remix,0.0517,140.148,4,https://api.spotify.com/v1/tracks/2SrG0BZgVqrq350PS6OB6L,audio_features,spotify:track:2SrG0BZgVqrq350PS6OB6L,0.23
0.000145,https://api.spotify.com/v1/audio-analysis/0OS7gsqsYZvFYjYM6SgZMk,Rusko,0.32799999999999996,351086,0.958,dubstep,0OS7gsqsYZvFYjYM6SgZMk,0.8640000000000001,11,0.34299999999999997,-3.5580000000000003,0,Somebody To Love - Sigma Remix,0.0603,175.084,4,https://api.spotify.com/v1/tracks/0OS7gsqsYZvFYjYM6SgZMk,audio_features,spotify:track:0OS7gsqsYZvFYjYM6SgZMk,0.436
0.00013000000000000002,https://api.spotify.com/v1/audio-analysis/1kPARYqAP7HO8wpFFZxB3m,Deekline,0.7559999999999999,251640,0.762,dubstep,1kPARYqAP7HO8wpFFZxB3m,0.000424,1,0.0793,-5.521,0,Shake The Pressure (feat. Splack Pack & Kidd Money) - We Bang Remix,0.0501,139.954,4,https://api.spotify.com/v1/tracks/1kPARYqAP7HO8wpFFZxB3m,audio_features,spotify:track:1kPARYqAP7HO8wpFFZxB3m,0.674
0.0369,https://api.spotify.com/v1/audio-analysis/4OgB6TRmIGBRT4NoFxxIQd,Daft Punk,0.523,272853,0.725,dubstep,4OgB6TRmIGBRT4NoFxxIQd,0.397,3,0.19899999999999998,-8.511000000000001,0,Solar Sailer - Remixed by Pretty Lights,0.122,150.019,4,https://api.spotify.com/v1/tracks/4OgB6TRmIGBRT4NoFxxIQd,audio_features,spotify:track:4OgB6TRmIGBRT4NoFxxIQd,0.413
0.0441,https://api.spotify.com/v1/audio-analysis/1bwSlZJIotlKugRUzcQUFd,Datsik,0.8109999999999999,332571,0.861,dubstep,1bwSlZJIotlKugRUzcQUFd,0.672,1,0.14400000000000002,-8.554,0,Gecko,0.294,140.134,4,https://api.spotify.com/v1/tracks/1bwSlZJIotlKugRUzcQUFd,audio_features,spotify:track:1bwSlZJIotlKugRUzcQUFd,0.182
0.00216,https://api.spotify.com/v1/audio-analysis/0yYhAqrI2t4zw9HbpUrMeY,WhiskerTwister,0.7959999999999999,247493,0.8640000000000001,dubstep,0yYhAqrI2t4zw9HbpUrMeY,0.628,7,0.778,-5.598,1,Fucking Cunt,0.0495,139.972,4,https://api.spotify.com/v1/tracks/0yYhAqrI2t4zw9HbpUrMeY,audio_features,spotify:track:0yYhAqrI2t4zw9HbpUrMeY,0.74
0.0009429999999999999,https://api.spotify.com/v1/audio-analysis/4RXhv7NKSw4KRbLaDydYJi,Omnitica,0.467,215657,0.871,dubstep,4RXhv7NKSw4KRbLaDydYJi,0.731,2,0.215,-5.494,1,Yo Ho And A Bottle of Bass (Russian Graffiti Remix),0.069,174.97299999999998,4,https://api.spotify.com/v1/tracks/4RXhv7NKSw4KRbLaDydYJi,audio_features,spotify:track:4RXhv7NKSw4KRbLaDydYJi,0.392
0.0012699999999999999,https://api.spotify.com/v1/audio-analysis/1Gr0kUpBPODDIOOAJEulzK,Don Diablo,0.5329999999999999,259707,0.8079999999999999,dubstep,1Gr0kUpBPODDIOOAJEulzK,0.000269,7,0.37,-4.2219999999999995,0,Silent Shadows,0.0337,139.97,4,https://api.spotify.com/v1/tracks/1Gr0kUpBPODDIOOAJEulzK,audio_features,spotify:track:1Gr0kUpBPODDIOOAJEulzK,0.344
0.00351,https://api.spotify.com/v1/audio-analysis/5JBmQtCy7usjAqsN9ymIKx,Excision,0.777,279200,0.9570000000000001,dubstep,5JBmQtCy7usjAqsN9ymIKx,0.805,6,0.228,-9.262,0,Wasted,0.10099999999999999,144.02700000000002,4,https://api.spotify.com/v1/tracks/5JBmQtCy7usjAqsN9ymIKx,audio_features,spotify:track:5JBmQtCy7usjAqsN9ymIKx,0.35100000000000003
0.00793,https://api.spotify.com/v1/audio-analysis/2hqsHsQ1DbjLSron7a0qoU,Dodge,0.762,356641,0.9640000000000001,dubstep,2hqsHsQ1DbjLSron7a0qoU,0.0018100000000000002,4,0.45899999999999996,-3.8710000000000004,1,Fierce,0.11599999999999999,140.011,4,https://api.spotify.com/v1/tracks/2hqsHsQ1DbjLSron7a0qoU,audio_features,spotify:track:2hqsHsQ1DbjLSron7a0qoU,0.62
0.000212,https://api.spotify.com/v1/audio-analysis/0YRKLRc6YvrlIRBzrXiFZg,Modestep,0.575,259653,0.9329999999999999,dubstep,0YRKLRc6YvrlIRBzrXiFZg,0.0,7,0.355,-4.232,0,Another Day - xKore Remix,0.27699999999999997,140.024,4,https://api.spotify.com/v1/tracks/0YRKLRc6YvrlIRBzrXiFZg,audio_features,spotify:track:0YRKLRc6YvrlIRBzrXiFZg,0.28300000000000003
0.000537,https://api.spotify.com/v1/audio-analysis/5F7FWI7P3jMzO3yCz0jELg,Flux Pavilion,0.627,276520,0.902,dubstep,5F7FWI7P3jMzO3yCz0jELg,0.787,4,0.409,-9.197000000000001,1,Hold Me Close,0.0543,139.97,4,https://api.spotify.com/v1/tracks/5F7FWI7P3jMzO3yCz0jELg,audio_features,spotify:track:5F7FWI7P3jMzO3yCz0jELg,0.0494
0.00103,https://api.spotify.com/v1/audio-analysis/5MhqNNZnkamSpD55bx7r6n,Eptic,0.5870000000000001,274751,0.92,dubstep,5MhqNNZnkamSpD55bx7r6n,0.583,11,0.102,-2.251,1,Like a Boss,0.0736,140.034,4,https://api.spotify.com/v1/tracks/5MhqNNZnkamSpD55bx7r6n,audio_features,spotify:track:5MhqNNZnkamSpD55bx7r6n,0.635
0.000737,https://api.spotify.com/v1/audio-analysis/3hXMRbE0tSDR9lRSu1IFXp,Torus,0.36700000000000005,288005,0.83,dubstep,3hXMRbE0tSDR9lRSu1IFXp,0.0005070000000000001,9,0.20800000000000002,-9.248,0,Wraith - Original,0.0488,139.974,4,https://api.spotify.com/v1/tracks/3hXMRbE0tSDR9lRSu1IFXp,audio_features,spotify:track:3hXMRbE0tSDR9lRSu1IFXp,0.293
0.00318,https://api.spotify.com/v1/audio-analysis/134KWDWvckZcxlRLGq0IYi,NERO,0.615,242840,0.794,dubstep,134KWDWvckZcxlRLGq0IYi,3.53e-05,10,0.624,-4.23,0,Must Be The Feeling,0.0909,128.085,4,https://api.spotify.com/v1/tracks/134KWDWvckZcxlRLGq0IYi,audio_features,spotify:track:134KWDWvckZcxlRLGq0IYi,0.5479999999999999
0.000132,https://api.spotify.com/v1/audio-analysis/1xqmEK0N46Rr0Z5QqVbxzj,Various Artists,0.386,233696,0.774,dubstep,1xqmEK0N46Rr0Z5QqVbxzj,0.74,6,0.128,-5.621,0,Awesome to the Max,0.0353,140.09799999999998,4,https://api.spotify.com/v1/tracks/1xqmEK0N46Rr0Z5QqVbxzj,audio_features,spotify:track:1xqmEK0N46Rr0Z5QqVbxzj,0.0368
